
Param lmweight= 1.0 , insertionPenalty=0.0
lmw 1.0 insw 0.0 UTT-1  <s> one </s>	->	 <s> SIX </s>	(-2189.6140041289477)	[2]
lmw 1.0 insw 15.0 UTT-42	<s> four seven one eight </s>	->	 <s> OH SIX </s>	(-3752.7902091554724)	[5]
lmw 1.0 insw 15.0 UTT-43	<s> five </s>	->	 <s> OH </s>	(-1646.453006904581)	[2]
lmw 1.0 insw 15.0 UTT-44	<s> six </s>	->	 <s> SIX </s>	(-1654.8682152244369)	[1]
lmw 1.0 insw 15.0 UTT-45	<s> seven zero four six nine eight nine </s>	->	 <s> OH </s>	(-5848.246505343558)	[8]
lmw 1.0 insw 15.0 UTT-46	<s> nine two three </s>	->	 <s> OH </s>	(-2608.040903483338)	[4]
lmw 1.0 insw 15.0 UTT-47	<s> oh six five </s>	->	 <s> OH </s>	(-3126.072193544153)	[3]
lmw 1.0 insw 15.0 UTT-48	<s> zero four four three six five nine </s>	->	 <s> SIX OH </s>	(-6388.106424736955)	[7]
lmw 1.0 insw 15.0 UTT-49	<s> one nine five </s>	->	 <s> OH </s>	(-3192.7649714703493)	[4]
lmw 1.0 insw 15.0 UTT-50	<s> two </s>	->	 <s> OH </s>	(-2061.2713890178893)	[2]
lmw 1.0 insw 15.0 UTT-51	<s> three </s>	->	 <s> OH </s>	(-2014.5628508758832)	[2]
lmw 1.0 insw 15.0 UTT-52	<s> four oh </s>	->	 <s> SIX </s>	(-2511.6299067020136)	[3]
lmw 1.0 insw 15.0 UTT-53	<s> six five two six </s>	->	 <s> SIX </s>	(-4113.968895131422)	[4]
lmw 1.0 insw 15.0 UTT-54	<s> seven four </s>	->	 <s> FIVE </s>	(-2959.4928731400196)	[3]
lmw 1.0 insw 15.0 UTT-55	<s> eight five four </s>	->	 <s> FIVE </s>	(-3059.622259584757)	[3]
lmw 1.0 insw 15.0 UTT-56	<s> nine </s>	->	 <s> OH </s>	(-2073.0605377785523)	[2]
lmw 1.0 insw 15.0 UTT-57	<s> oh </s>	->	 <s> OH </s>	(-1775.0222592156433)	[1]
lmw 1.0 insw 15.0 UTT-58	<s> zero </s>	->	 <s> OH </s>	(-2220.5927898917157)	[2]
lmw 1.0 insw 15.0 UTT-59	<s> one zero eight eight five </s>	->	 <s> SIX OH </s>	(-5621.958376835483)	[6]
lmw 1.0 insw 15.0 UTT-60	<s> three three seven one </s>	->	 <s> OH SIX </s>	(-4964.168493543155)	[5]
lmw 1.0 insw 15.0 UTT-61	<s> four five </s>	->	 <s> OH </s>	(-3755.372850541164)	[3]
lmw 1.0 insw 15.0 UTT-62	<s> five five five zero nine seven one </s>	->	 <s> SIX </s>	(-8448.514888554655)	[8]
lmw 1.0 insw 15.0 UTT-63	<s> six nine one four oh </s>	->	 <s> SIX OH </s>	(-5949.025693810659)	[4]
lmw 1.0 insw 15.0 UTT-64	<s> seven </s>	->	 <s> SIX </s>	(-2437.3989636171755)	[2]
lmw 1.0 insw 15.0 UTT-65	<s> eight </s>	->	 <s> OH </s>	(-2349.1308052287927)	[2]
lmw 1.0 insw 15.0 UTT-66	<s> nine oh four five three five eight </s>	->	 <s> OH OH FIVE </s>	(-9078.681524806672)	[6]
lmw 1.0 insw 15.0 UTT-67	<s> zero two one five nine </s>	->	 <s> OH SIX </s>	(-5855.39020415046)	[6]
lmw 1.0 insw 15.0 UTT-68	<s> one three </s>	->	 <s> SIX </s>	(-2555.891042841986)	[3]
lmw 1.0 insw 15.0 UTT-69	<s> two eight zero five </s>	->	 <s> SIX OH </s>	(-4222.8412606528655)	[5]
lmw 1.0 insw 15.0 UTT-70	<s> three five five three six </s>	->	 <s> SIX </s>	(-4577.069403626753)	[5]
lmw 1.0 insw 15.0 UTT-71	<s> four five six four four </s>	->	 <s> OH OH </s>	(-4835.542583421515)	[6]
lmw 1.0 insw 15.0 UTT-72	<s> five </s>	->	 <s> OH </s>	(-1762.2580312949242)	[2]
lmw 1.0 insw 15.0 UTT-73	<s> six oh six oh two </s>	->	 <s> OH </s>	(-4418.320638532841)	[5]
lmw 1.0 insw 15.0 UTT-74	<s> eight one two oh eight five nine </s>	->	 <s> SIX OH </s>	(-6189.745747698615)	[7]
lmw 1.0 insw 15.0 UTT-75	<s> nine three five oh three two four </s>	->	 <s> OH OH </s>	(-6758.127592591931)	[7]
lmw 1.0 insw 15.0 UTT-76	<s> oh </s>	->	 <s> OH </s>	(-1715.5111881173127)	[1]
lmw 1.0 insw 15.0 UTT-77	<s> zero </s>	->	 <s> OH </s>	(-2457.51144067238)	[2]
lmw 1.0 insw 15.0 UTT-78	<s> one </s>	->	 <s> SIX </s>	(-2083.246397017753)	[2]
lmw 1.0 insw 15.0 UTT-79	<s> two oh six two </s>	->	 <s> SIX </s>	(-3169.8242266609477)	[4]
lmw 1.0 insw 15.0 UTT-80	<s> three </s>	->	 <s> SIX </s>	(-1545.8412256070703)	[2]
lmw 1.0 insw 15.0 UTT-81	<s> five five two zero </s>	->	 <s> FIVE </s>	(-3216.936572925938)	[4]
lmw 1.0 insw 15.0 UTT-82	<s> six seven oh oh </s>	->	 <s> OH </s>	(-3728.940796812927)	[4]
lmw 1.0 insw 15.0 UTT-83	<s> seven six </s>	->	 <s> SIX </s>	(-2866.5283790381286)	[2]
lmw 1.0 insw 15.0 UTT-84	<s> eight nine eight </s>	->	 <s> OH </s>	(-3271.9893325625885)	[4]
lmw 1.0 insw 15.0 UTT-85	<s> nine </s>	->	 <s> SIX </s>	(-1965.5001258285256)	[2]
lmw 1.0 insw 15.0 UTT-86	<s> oh </s>	->	 <s> OH </s>	(-1680.7309684433435)	[1]
lmw 1.0 insw 15.0 UTT-87	<s> zero </s>	->	 <s> SIX </s>	(-1789.757494440075)	[2]
lmw 1.0 insw 15.0 UTT-88	<s> two two eight two oh </s>	->	 <s> OH </s>	(-5719.374392992875)	[5]
lmw 1.0 insw 15.0 UTT-89	<s> three four eight </s>	->	 <s> SIX </s>	(-3592.3244066625675)	[4]
lmw 1.0 insw 15.0 UTT-90	<s> four seven zero </s>	->	 <s> SIX </s>	(-4150.645430225925)	[4]
lmw 1.0 insw 15.0 UTT-91	<s> five seven three five three seven nine </s>	->	 <s> SIX </s>	(-7098.330595622652)	[8]
lmw 1.0 insw 15.0 UTT-92	<s> six nine </s>	->	 <s> SIX </s>	(-3638.1750593828133)	[2]
lmw 1.0 insw 15.0 UTT-93	<s> seven </s>	->	 <s> SIX </s>	(-2068.107438970339)	[2]
lmw 1.0 insw 15.0 UTT-94	<s> eight zero </s>	->	 <s> OH </s>	(-3033.462354378772)	[3]
lmw 1.0 insw 15.0 UTT-95	<s> oh two seven four oh </s>	->	 <s> OH </s>	(-6032.788341631342)	[5]
lmw 1.0 insw 15.0 UTT-96	<s> zero two three one nine zero nine </s>	->	 <s> SIX </s>	(-7212.710136723781)	[8]
lmw 1.0 insw 15.0 UTT-97	<s> one three oh two eight nine oh </s>	->	 <s> OH SIX </s>	(-6235.4477360415995)	[7]
lmw 1.0 insw 15.0 UTT-98	<s> two eight </s>	->	 <s> SIX </s>	(-2708.3087933549436)	[3]
lmw 1.0 insw 15.0 UTT-99	<s> three five </s>	->	 <s> SIX </s>	(-2267.386519081308)	[3]
lmw 1.0 insw 15.0 UTT-100	<s> four </s>	->	 <s> OH </s>	(-1484.420277915019)	[2]
lmw 1.0 insw 15.0 UTT-101	<s> five </s>	->	 <s> OH </s>	(-1674.783646846228)	[2]
lmw 1.0 insw 15.0 UTT-102	<s> seven one one </s>	->	 <s> SIX </s>	(-3482.8806304096483)	[4]
lmw 1.0 insw 15.0 UTT-103	<s> eight five oh one six four six </s>	->	 <s> OH </s>	(-6382.466802214409)	[7]
lmw 1.0 insw 15.0 UTT-104	<s> nine eight seven zero </s>	->	 <s> OH </s>	(-4039.52380026735)	[5]
lmw 1.0 insw 15.0 UTT-105	<s> oh </s>	->	 <s> SIX </s>	(-1646.4508840143812)	[2]
lmw 1.0 insw 15.0 UTT-106	<s> zero </s>	->	 <s> SIX </s>	(-2073.86276166108)	[2]
lmw 1.0 insw 15.0 UTT-107	<s> one </s>	->	 <s> SIX </s>	(-1731.2291635656527)	[2]
lmw 1.0 insw 15.0 UTT-108	<s> two </s>	->	 <s> OH </s>	(-1877.4137543963493)	[2]
lmw 1.0 insw 15.0 UTT-109	<s> four one oh four oh </s>	->	 <s> SIX SIX SIX </s>	(-6520.516020283627)	[6]
lmw 1.0 insw 15.0 UTT-110	<s> five three four nine nine six oh </s>	->	 <s> SIX SIX OH </s>	(-6563.269895120177)	[6]
lmw 1.0 insw 15.0 UTT-111	<s> six eight six seven </s>	->	 <s> OH </s>	(-3932.280115656895)	[5]
lmw 1.0 insw 15.0 UTT-112	<s> seven nine three six five nine six </s>	->	 <s> SIX SIX </s>	(-7402.459323026998)	[6]
lmw 1.0 insw 15.0 UTT-113	<s> eight eight zero five five </s>	->	 <s> SIX </s>	(-5432.163410447712)	[6]
lmw 1.0 insw 15.0 UTT-114	<s> nine </s>	->	 <s> SIX </s>	(-1758.3159388121016)	[2]
lmw 1.0 insw 15.0 UTT-115	<s> oh oh oh nine nine eight nine </s>	->	 <s> SIX </s>	(-6393.475544329315)	[8]
lmw 1.0 insw 15.0 UTT-116	<s> one one five </s>	->	 <s> OH </s>	(-2910.8628918107997)	[4]
lmw 1.0 insw 15.0 UTT-117	<s> two two </s>	->	 <s> SIX </s>	(-2572.192546573582)	[3]
lmw 1.0 insw 15.0 UTT-118	<s> three five oh two </s>	->	 <s> SIX </s>	(-3383.0952058970743)	[5]
lmw 1.0 insw 15.0 UTT-119	<s> four </s>	->	 <s> SIX </s>	(-1799.279220688175)	[2]
lmw 1.0 insw 15.0 UTT-120	<s> five </s>	->	 <s> OH </s>	(-1694.6486300003598)	[2]
lmw 1.0 insw 15.0 UTT-121	<s> six </s>	->	 <s> SIX </s>	(-1879.7021906598072)	[1]
lmw 1.0 insw 15.0 UTT-122	<s> seven </s>	->	 <s> SIX </s>	(-2151.996890971301)	[2]
lmw 1.0 insw 15.0 UTT-123	<s> nine six one eight two three seven </s>	->	 <s> OH </s>	(-6361.197777622641)	[8]
lmw 1.0 insw 15.0 UTT-124	<s> oh three five seven four five one </s>	->	 <s> SIX </s>	(-6216.935788551948)	[8]
lmw 1.0 insw 15.0 UTT-125	<s> zero eight three nine two nine three </s>	->	 <s> SIX </s>	(-6438.224803060844)	[8]
lmw 1.0 insw 15.0 UTT-126	<s> one </s>	->	 <s> SIX </s>	(-1709.4757257856002)	[2]
lmw 1.0 insw 15.0 UTT-127	<s> two </s>	->	 <s> SIX </s>	(-2231.2774070350765)	[2]
lmw 1.0 insw 15.0 UTT-128	<s> three </s>	->	 <s> OH </s>	(-2286.024834054055)	[2]
lmw 1.0 insw 15.0 UTT-129	<s> four </s>	->	 <s> OH </s>	(-2152.5084030642156)	[2]
lmw 1.0 insw 15.0 UTT-130	<s> six one </s>	->	 <s> OH </s>	(-2893.3312390064793)	[3]
lmw 1.0 insw 15.0 UTT-131	<s> seven three seven </s>	->	 <s> OH </s>	(-3829.457563837291)	[4]
lmw 1.0 insw 15.0 UTT-132	<s> eight seven </s>	->	 <s> SIX </s>	(-2951.99361566345)	[3]
lmw 1.0 insw 15.0 UTT-133	<s> nine nine </s>	->	 <s> SIX </s>	(-3217.2275829811797)	[3]
lmw 1.0 insw 15.0 UTT-134	<s> oh </s>	->	 <s> OH </s>	(-2140.1252172472205)	[1]
lmw 1.0 insw 15.0 UTT-135	<s> zero </s>	->	 <s> SIX </s>	(-2544.828963647274)	[2]
lmw 1.0 insw 15.0 UTT-136	<s> one oh five oh oh four five </s>	->	 <s> OH OH OH </s>	(-6185.4009917960475)	[5]
lmw 1.0 insw 15.0 UTT-137	<s> three two five </s>	->	 <s> OH </s>	(-3733.2972869104224)	[4]
lmw 1.0 insw 15.0 UTT-138	<s> four four seven three </s>	->	 <s> SIX </s>	(-3413.0120361720597)	[5]
lmw 1.0 insw 15.0 UTT-139	<s> five two seven four one five five </s>	->	 <s> SIX SIX </s>	(-7035.429549144476)	[8]
lmw 1.0 insw 15.0 UTT-140	<s> six seven two six two </s>	->	 <s> SIX </s>	(-4305.593638105238)	[5]
lmw 1.0 insw 15.0 UTT-141	<s> seven nine </s>	->	 <s> OH </s>	(-3295.562765293421)	[3]
lmw 1.0 insw 15.0 UTT-142	<s> eight </s>	->	 <s> OH </s>	(-1894.374856430421)	[2]
lmw 1.0 insw 15.0 UTT-143	<s> nine </s>	->	 <s> OH </s>	(-1936.6689205244495)	[2]
lmw 1.0 insw 15.0 UTT-144	<s> zero three seven six zero four zero </s>	->	 <s> SIX SIX </s>	(-6930.477328385442)	[7]
lmw 1.0 insw 15.0 UTT-145	<s> one one </s>	->	 <s> SIX </s>	(-2552.941274021045)	[3]
lmw 1.0 insw 15.0 UTT-146	<s> two five seven </s>	->	 <s> SIX </s>	(-3191.2536497967167)	[4]
lmw 1.0 insw 15.0 UTT-147	<s> three nine </s>	->	 <s> SIX </s>	(-3096.67457386095)	[3]
lmw 1.0 insw 15.0 UTT-148	<s> four seven nine oh oh nine oh </s>	->	 <s> SIX OH OH </s>	(-7063.037580544991)	[6]
lmw 1.0 insw 15.0 UTT-149	<s> five </s>	->	 <s> OH </s>	(-1919.0197105642178)	[2]
lmw 1.0 insw 15.0 UTT-150	<s> six oh five oh </s>	->	 <s> OH OH </s>	(-4725.934221702259)	[3]
lmw 1.0 insw 15.0 UTT-151	<s> eight one </s>	->	 <s> OH </s>	(-2937.2677672984496)	[3]
lmw 1.0 insw 15.0 UTT-152	<s> nine two two six </s>	->	 <s> SIX </s>	(-4542.6234556596055)	[4]
lmw 1.0 insw 15.0 UTT-153	<s> oh nine seven </s>	->	 <s> SIX </s>	(-3719.1479264902264)	[4]
lmw 1.0 insw 15.0 UTT-154	<s> zero </s>	->	 <s> OH </s>	(-2072.860117974165)	[2]
lmw 1.0 insw 15.0 UTT-155	<s> one </s>	->	 <s> SIX </s>	(-1786.436113405204)	[2]
lmw 1.0 insw 15.0 UTT-156	<s> two </s>	->	 <s> OH </s>	(-1838.1699621070716)	[2]
lmw 1.0 insw 15.0 UTT-157	<s> three </s>	->	 <s> OH </s>	(-2395.722554766662)	[2]
lmw 1.0 insw 15.0 UTT-158	<s> five one seven one four two six </s>	->	 <s> SIX </s>	(-6969.639994537603)	[7]
lmw 1.0 insw 15.0 UTT-159	<s> six four six </s>	->	 <s> OH </s>	(-4295.922276088098)	[4]
lmw 1.0 insw 15.0 UTT-160	<s> seven six one one </s>	->	 <s> SIX </s>	(-4112.270389362486)	[4]
lmw 1.0 insw 15.0 UTT-161	<s> eight seven two four six three seven </s>	->	 <s> OH OH </s>	(-8223.230136448277)	[8]
lmw 1.0 insw 15.0 UTT-162	<s> nine </s>	->	 <s> OH </s>	(-2942.7465693970344)	[2]
lmw 1.0 insw 15.0 UTT-163	<s> oh </s>	->	 <s> OH </s>	(-1823.6229408147863)	[1]
lmw 1.0 insw 15.0 UTT-164	<s> zero zero </s>	->	 <s> OH </s>	(-3208.0636845773465)	[3]
lmw 1.0 insw 15.0 UTT-165	<s> two one </s>	->	 <s> SIX </s>	(-2411.2169760623306)	[3]
lmw 1.0 insw 15.0 UTT-166	<s> three three eight </s>	->	 <s> SIX </s>	(-3736.5302784182923)	[4]
lmw 1.0 insw 15.0 UTT-167	<s> four four eight one five </s>	->	 <s> OH </s>	(-5637.115236893013)	[6]
lmw 1.0 insw 15.0 UTT-168	<s> five </s>	->	 <s> OH </s>	(-2358.8823114870893)	[2]
lmw 1.0 insw 15.0 UTT-169	<s> six seven eight </s>	->	 <s> SIX SIX </s>	(-4037.461544552662)	[3]
lmw 1.0 insw 15.0 UTT-170	<s> seven </s>	->	 <s> OH </s>	(-2462.4531040354523)	[2]
lmw 1.0 insw 15.0 UTT-171	<s> eight </s>	->	 <s> SIX </s>	(-1891.6506526696544)	[2]
lmw 1.0 insw 15.0 UTT-172	<s> oh one three two one </s>	->	 <s> SIX </s>	(-5467.183111182545)	[6]
lmw 1.0 insw 15.0 UTT-173	<s> zero six zero five </s>	->	 <s> SIX SIX </s>	(-5533.965312998483)	[4]
lmw 1.0 insw 15.0 UTT-174	<s> one six oh nine seven </s>	->	 <s> SIX </s>	(-4420.329713509991)	[5]
lmw 1.0 insw 15.0 UTT-175	<s> two </s>	->	 <s> SIX </s>	(-1739.5063054349384)	[2]
lmw 1.0 insw 15.0 UTT-176	<s> three eight </s>	->	 <s> SIX </s>	(-2465.137726303532)	[3]
lmw 1.0 insw 15.0 UTT-177	<s> four </s>	->	 <s> OH </s>	(-1650.9019634466804)	[2]
lmw 1.0 insw 15.0 UTT-178	<s> five zero </s>	->	 <s> OH </s>	(-2529.981732498514)	[3]
lmw 1.0 insw 15.0 UTT-179	<s> seven three zero two three zero one </s>	->	 <s> SIX </s>	(-7164.467843883256)	[8]
lmw 1.0 insw 15.0 UTT-180	<s> eight five three seven six zero six </s>	->	 <s> SIX SIX </s>	(-7402.39868491768)	[6]
lmw 1.0 insw 15.0 UTT-181	<s> nine five zero </s>	->	 <s> SIX </s>	(-3113.5768139936354)	[4]
lmw 1.0 insw 15.0 UTT-182	<s> oh nine oh eight four six four </s>	->	 <s> SIX </s>	(-6052.160274024781)	[7]
lmw 1.0 insw 15.0 UTT-183	<s> zero </s>	->	 <s> SIX </s>	(-2240.4295227010653)	[2]
lmw 1.0 insw 15.0 UTT-184	<s> one oh one two </s>	->	 <s> SIX </s>	(-3546.3174741398684)	[5]
lmw 1.0 insw 15.0 UTT-185	<s> two </s>	->	 <s> OH </s>	(-1440.7273449372988)	[2]
lmw 1.0 insw 15.0 UTT-186	<s> four one oh oh six three one </s>	->	 <s> OH FIVE </s>	(-6448.517252294036)	[7]
lmw 1.0 insw 15.0 UTT-187	<s> five five </s>	->	 <s> OH </s>	(-2562.5379803223864)	[3]
lmw 1.0 insw 15.0 UTT-188	<s> six four one </s>	->	 <s> SIX OH </s>	(-3424.389172833313)	[3]
lmw 1.0 insw 15.0 UTT-189	<s> seven five oh </s>	->	 <s> SIX </s>	(-3500.188412911826)	[4]
lmw 1.0 insw 15.0 UTT-190	<s> eight </s>	->	 <s> SIX </s>	(-1740.9447207530934)	[2]
lmw 1.0 insw 15.0 UTT-191	<s> nine </s>	->	 <s> OH </s>	(-1648.2346892231687)	[2]
lmw 1.0 insw 15.0 UTT-192	<s> oh </s>	->	 <s> OH </s>	(-1579.2772525874202)	[1]
lmw 1.0 insw 15.0 UTT-193	<s> one two four three one </s>	->	 <s> SIX SIX </s>	(-7826.303788118241)	[6]
lmw 1.0 insw 15.0 UTT-194	<s> two two nine </s>	->	 <s> SIX </s>	(-4204.295372632733)	[4]
lmw 1.0 insw 15.0 UTT-195	<s> three seven </s>	->	 <s> SIX </s>	(-3834.496211613168)	[3]
lmw 1.0 insw 15.0 UTT-196	<s> four eight eight oh seven oh one </s>	->	 <s> SIX </s>	(-8162.416408858254)	[8]
lmw 1.0 insw 15.0 UTT-197	<s> five </s>	->	 <s> OH </s>	(-2209.3827884663083)	[2]
lmw 1.0 insw 15.0 UTT-198	<s> six </s>	->	 <s> SIX </s>	(-2375.121308403152)	[1]
lmw 1.0 insw 15.0 UTT-199	<s> seven oh seven </s>	->	 <s> SIX </s>	(-4535.2602301411935)	[4]
lmw 1.0 insw 15.0 UTT-200	<s> nine four nine one </s>	->	 <s> SIX </s>	(-5503.573421688164)	[5]
lmw 1.0 insw 15.0 UTT-201	<s> oh three two </s>	->	 <s> SIX </s>	(-3903.6020311765174)	[4]
lmw 1.0 insw 15.0 UTT-202	<s> zero eight nine </s>	->	 <s> SIX </s>	(-4459.857259061063)	[4]
lmw 1.0 insw 15.0 UTT-203	<s> one nine three six two six zero </s>	->	 <s> SIX </s>	(-7141.467766240375)	[7]
lmw 1.0 insw 15.0 UTT-204	<s> two </s>	->	 <s> OH </s>	(-1686.9017804674033)	[2]
lmw 1.0 insw 15.0 UTT-205	<s> three </s>	->	 <s> SIX </s>	(-2331.621625821069)	[2]
lmw 1.0 insw 15.0 UTT-206	<s> four </s>	->	 <s> SIX </s>	(-2166.2631214905014)	[2]
lmw 1.0 insw 15.0 UTT-207	<s> six three </s>	->	 <s> SIX </s>	(-2747.220670057236)	[2]
lmw 1.0 insw 15.0 UTT-208	<s> seven nine eight eight six </s>	->	 <s> SIX </s>	(-5723.5917105959625)	[5]
lmw 1.0 insw 15.0 UTT-209	<s> eight five oh </s>	->	 <s> OH </s>	(-3034.6862071357846)	[3]
lmw 1.0 insw 15.0 UTT-210	<s> nine six oh oh </s>	->	 <s> OH </s>	(-3422.7438129100715)	[4]
lmw 1.0 insw 15.0 UTT-211	<s> oh eight one oh nine </s>	->	 <s> SIX </s>	(-4539.691453426078)	[6]
lmw 1.0 insw 15.0 UTT-212	<s> zero </s>	->	 <s> SIX </s>	(-2644.2215664867886)	[2]
lmw 1.0 insw 15.0 UTT-213	<s> one oh eight four oh three oh </s>	->	 <s> SIX SIX </s>	(-7155.595065740157)	[8]
lmw 1.0 insw 15.0 UTT-214	<s> three one two oh </s>	->	 <s> OH </s>	(-4167.795930888771)	[4]
lmw 1.0 insw 15.0 UTT-215	<s> four two five three </s>	->	 <s> SIX </s>	(-4647.456793217719)	[5]
lmw 1.0 insw 15.0 UTT-216	<s> five five </s>	->	 <s> OH </s>	(-2752.057710396502)	[3]
lmw 1.0 insw 15.0 UTT-217	<s> six nine </s>	->	 <s> SIX </s>	(-3517.699343492831)	[2]
lmw 1.0 insw 15.0 UTT-218	<s> seven nine nine </s>	->	 <s> SIX </s>	(-3672.43992742422)	[4]
lmw 1.0 insw 15.0 UTT-219	<s> eight oh </s>	->	 <s> OH </s>	(-2553.2648809374714)	[2]
lmw 1.0 insw 15.0 UTT-220	<s> nine </s>	->	 <s> SIX </s>	(-1894.346334739467)	[2]
lmw 1.0 insw 15.0 UTT-221	<s> zero two </s>	->	 <s> SIX </s>	(-2784.9614158366503)	[3]
lmw 1.0 insw 15.0 UTT-222	<s> one two </s>	->	 <s> OH </s>	(-2403.1579585095574)	[3]
lmw 1.0 insw 15.0 UTT-223	<s> two four </s>	->	 <s> OH </s>	(-2275.4458632843903)	[3]
lmw 1.0 insw 15.0 UTT-224	<s> three </s>	->	 <s> SIX </s>	(-1566.4710839408194)	[2]
lmw 1.0 insw 15.0 UTT-225	<s> four </s>	->	 <s> SIX </s>	(-1787.24572935076)	[2]
lmw 1.0 insw 15.0 UTT-226	<s> five </s>	->	 <s> OH </s>	(-1755.0045711404118)	[2]
lmw 1.0 insw 15.0 UTT-227	<s> six zero one seven eight five two </s>	->	 <s> SIX </s>	(-6442.841669289806)	[7]
lmw 1.0 insw 15.0 UTT-228	<s> eight two five nine zero </s>	->	 <s> SIX </s>	(-4527.074602088836)	[6]
lmw 1.0 insw 15.0 UTT-229	<s> nine four seven nine three </s>	->	 <s> OH </s>	(-4532.405335285203)	[6]
lmw 1.0 insw 15.0 UTT-230	<s> oh seven </s>	->	 <s> SIX </s>	(-2556.0597969930063)	[3]
lmw 1.0 insw 15.0 UTT-231	<s> zero seven one </s>	->	 <s> SIX </s>	(-4305.363258881754)	[4]
lmw 1.0 insw 15.0 UTT-232	<s> one </s>	->	 <s> SIX </s>	(-1562.200402536937)	[2]
lmw 1.0 insw 15.0 UTT-233	<s> two oh nine one </s>	->	 <s> OH SIX </s>	(-3730.485765098102)	[4]
lmw 1.0 insw 15.0 UTT-234	<s> three zero one one </s>	->	 <s> SIX </s>	(-3476.0848469414927)	[5]
lmw 1.0 insw 15.0 UTT-235	<s> five three zero </s>	->	 <s> SIX </s>	(-3143.9252631713616)	[4]
lmw 1.0 insw 15.0 UTT-236	<s> six three five seven one zero four </s>	->	 <s> OH SIX </s>	(-6966.9891046255025)	[8]
lmw 1.0 insw 15.0 UTT-237	<s> seven seven two three </s>	->	 <s> SIX </s>	(-4100.583574565376)	[5]
lmw 1.0 insw 15.0 UTT-238	<s> eight eight </s>	->	 <s> SIX </s>	(-2054.3215427713985)	[3]
lmw 1.0 insw 15.0 UTT-239	<s> nine </s>	->	 <s> OH </s>	(-1552.8028792653413)	[2]
lmw 1.0 insw 15.0 UTT-240	<s> oh </s>	->	 <s> OH </s>	(-1643.8383108672472)	[1]
lmw 1.0 insw 15.0 UTT-241	<s> zero </s>	->	 <s> SIX </s>	(-2031.3343621976087)	[2]
lmw 1.0 insw 15.0 UTT-242	<s> two five </s>	->	 <s> OH </s>	(-2449.848076007692)	[3]
lmw 1.0 insw 15.0 UTT-243	<s> three four zero four </s>	->	 <s> SIX </s>	(-4405.9731908382855)	[5]
lmw 1.0 insw 15.0 UTT-244	<s> four seven </s>	->	 <s> SIX </s>	(-2420.4120978650344)	[3]
lmw 1.0 insw 15.0 UTT-245	<s> five five zero three eight five four </s>	->	 <s> OH OH FIVE </s>	(-6583.055090940561)	[7]
lmw 1.0 insw 15.0 UTT-246	<s> six </s>	->	 <s> SIX </s>	(-2318.6973320963043)	[1]
lmw 1.0 insw 15.0 UTT-247	<s> seven </s>	->	 <s> OH </s>	(-2312.705482638906)	[2]
lmw 1.0 insw 15.0 UTT-248	<s> eight </s>	->	 <s> OH </s>	(-1919.8600729079308)	[2]
lmw 1.0 insw 15.0 UTT-249	<s> oh one nine five </s>	->	 <s> SIX OH </s>	(-3828.3135603145583)	[5]
lmw 1.0 insw 15.0 UTT-250	<s> zero one zero seven two </s>	->	 <s> SIX </s>	(-5482.292835503414)	[6]
lmw 1.0 insw 15.0 UTT-251	<s> one nine </s>	->	 <s> SIX </s>	(-2644.026704639178)	[3]
lmw 1.0 insw 15.0 UTT-252	<s> two </s>	->	 <s> OH </s>	(-1868.4047651030314)	[2]
lmw 1.0 insw 15.0 UTT-253	<s> three </s>	->	 <s> SIX </s>	(-1821.6829705261503)	[2]
lmw 1.0 insw 15.0 UTT-254	<s> four </s>	->	 <s> SIX </s>	(-1819.5031936650769)	[2]
lmw 1.0 insw 15.0 UTT-255	<s> five </s>	->	 <s> OH </s>	(-1794.0884250811914)	[2]
lmw 1.0 insw 15.0 UTT-256	<s> seven two four one </s>	->	 <s> SIX </s>	(-4674.38166391341)	[5]
lmw 1.0 insw 15.0 UTT-257	<s> eight one zero zero </s>	->	 <s> SIX </s>	(-4343.9379526348985)	[5]
lmw 1.0 insw 15.0 UTT-258	<s> nine five eight six </s>	->	 <s> SIX SIX </s>	(-5486.15373410357)	[4]
lmw 1.0 insw 15.0 UTT-259	<s> oh nine five </s>	->	 <s> OH </s>	(-3191.6675073584784)	[3]
lmw 1.0 insw 15.0 UTT-260	<s> zero eight nine eight four </s>	->	 <s> SIX </s>	(-4527.0227962183335)	[6]
lmw 1.0 insw 15.0 UTT-261	<s> one </s>	->	 <s> SIX </s>	(-2160.0791355385422)	[2]
lmw 1.0 insw 15.0 UTT-262	<s> two zero eight eight nine </s>	->	 <s> OH </s>	(-5034.575391070891)	[6]
lmw 1.0 insw 15.0 UTT-263	<s> four one five three five eight six </s>	->	 <s> SIX </s>	(-7243.911522415951)	[7]
lmw 1.0 insw 15.0 UTT-264	<s> five three four nine </s>	->	 <s> OH </s>	(-4281.773364459506)	[5]
lmw 1.0 insw 15.0 UTT-265	<s> six four </s>	->	 <s> SIX </s>	(-2813.2696739134713)	[2]
lmw 1.0 insw 15.0 UTT-266	<s> seven eight </s>	->	 <s> SIX </s>	(-2679.9826332939224)	[3]
lmw 1.0 insw 15.0 UTT-267	<s> eight nine nine oh </s>	->	 <s> OH </s>	(-3561.300377447626)	[4]
lmw 1.0 insw 15.0 UTT-268	<s> nine </s>	->	 <s> SIX </s>	(-2265.646834752464)	[2]
lmw 1.0 insw 15.0 UTT-269	<s> oh oh two one three </s>	->	 <s> OH </s>	(-4769.023532758031)	[5]
